date,delta_deg,E_day_kWh
2024-09-06,14,1.762761900009232
2024-09-07,10,1.7508269602992441
2024-09-07,11,1.7525557754750176
2024-09-07,12,1.7543444732755398
2024-09-07,13,1.7558428634899093
2024-09-07,14,1.7570512576673236
2024-09-08,10,1.75613767374933
2024-09-08,11,1.757766069693513
2024-09-08,12,1.7594337554559287
2024-09-08,13,1.7608859294841064
2024-09-08,14,1.7620402915661821
2024-09-09,10,1.876635514666841
2024-09-09,11,1.8783427485169626
2024-09-09,12,1.8799373860432778
2024-09-09,13,1.881413568380971
2024-09-09,14,1.8825726499396023
2024-09-10,10,1.842178247368766
2024-09-10,11,1.8437646318498127
2024-09-10,12,1.8451271625976284
2024-09-10,13,1.8464988635241242
2024-09-10,14,1.847564924679277
2024-09-11,10,1.6228739062270159
2024-09-11,11,1.6236636325555671
2024-09-11,12,1.624154146675276
2024-09-11,13,1.6248266841826517
2024-09-11,14,1.625239853477493
2024-09-12,10,1.6127970511179806
2024-09-12,11,1.6135943363291987
2024-09-12,12,1.6141010153381863
2024-09-12,13,1.6146586853431204
2024-09-12,14,1.6150838393610858
2024-09-13,10,1.41709890569131
2024-09-13,11,1.4176214118420216
2024-09-13,12,1.4178985172620469
2024-09-13,13,1.4181329924009316
2024-09-13,14,1.4183891132075954
2024-09-14,10,1.7002180006989362
2024-09-14,11,1.7013053734236014
2024-09-14,12,1.7020946754143615
2024-09-14,13,1.7026689434930877
2024-09-14,14,1.703342807087418
2024-09-15,10,1.0272315371451737
2024-09-15,11,1.0266035119289325
2024-09-15,12,1.0258098823623676
2024-09-15,13,1.0248507228548036
2024-09-15,14,1.0241568985168445
2024-09-16,10,1.815935738500713
2024-09-16,11,1.8169504849292528
2024-09-16,12,1.8176399464693724
2024-09-16,13,1.818004593928592
2024-09-16,14,1.8184110612506783
2024-09-17,10,1.768259255792076
2024-09-17,11,1.7691022582097649
2024-09-17,12,1.7696431500614376
2024-09-17,13,1.769978638370844
2024-09-17,14,1.7701926651589652
2024-09-18,10,0.7895043431457152
2024-09-18,11,0.7899532895599461
2024-09-18,12,0.7903022302759327
2024-09-18,13,0.7905445893935591
2024-09-18,14,0.7907201369765849
2024-09-19,10,1.9258665925871181
2024-09-19,11,1.927087712228392
2024-09-19,12,1.9279747890789611
2024-09-19,13,1.928528123044188
2024-09-19,14,1.928748033933472
2024-09-20,10,1.9578109139888151
2024-09-20,11,1.958770602861996
2024-09-20,12,1.9593870448883803
2024-09-20,13,1.959660805379449
2024-09-20,14,1.9595924661632222
2024-09-21,10,1.919998626151213
2024-09-21,11,1.9209254808047744
2024-09-21,12,1.9215244718493276
2024-09-21,13,1.9217959491577004
2024-09-21,14,1.9217402641992576
2024-09-22,10,1.7845690275229622
2024-09-22,11,1.7851576502863973
2024-09-22,12,1.7854417644904157
2024-09-22,13,1.7854216242906784
2024-09-22,14,1.7850974840631608
2024-09-23,10,1.5025250770616712
2024-09-23,11,1.5031597491337139
2024-09-23,12,1.503561001641278
2024-09-23,13,1.5037287379736786
2024-09-23,14,1.5036628311102596
2024-09-24,10,0.8758802839398728
2024-09-24,11,0.8753287725286271
2024-09-24,12,0.8746673688119074
2024-09-24,13,0.8738962858071514
2024-09-24,14,0.8730157638636633
2024-09-25,10,0.8963392230110678
2024-09-25,11,0.8955163334764739
2024-09-25,12,0.8945709758148092
2024-09-25,13,0.893503313028202
2024-09-25,14,0.8923135328116982
2024-09-26,10,1.671346163141603
2024-09-26,11,1.6720101829283744
2024-09-26,12,1.6724210673221964
2024-09-26,13,1.6725784202072325
2024-09-26,14,1.6724817976695732
2024-09-27,10,1.2033427481615873
2024-09-27,11,1.2038014319101884
2024-09-27,12,1.2040948076532763
2024-09-27,13,1.204223101881914
2024-09-27,14,1.2041865540880583
2024-09-28,10,0.5030506091391596
2024-09-28,11,0.5014498851733061
2024-09-28,12,0.4997957012144525
2024-09-28,13,0.4980884984600778
2024-09-28,14,0.49632873237518077
2024-09-29,10,1.670961577582112
2024-09-29,11,1.671059482199033
2024-09-29,12,1.6708842333004386
2024-09-29,13,1.6704361083557935
2024-09-29,14,1.669715417862768
2024-09-30,10,1.5692109177597755
2024-09-30,11,1.5695416293840967
2024-09-30,12,1.5696336038522312
2024-09-30,13,1.5694879784700182
2024-09-30,14,1.5691059202593374
2024-10-01,10,1.8842801179567954
2024-10-01,11,1.884935397813408
2024-10-01,12,1.8853128439357396
2024-10-01,13,1.8854122878762896
2024-10-01,14,1.885233505428675
2024-10-02,10,1.868078895732918
2024-10-02,11,1.8680043664864687
2024-10-02,12,1.867625059999287
2024-10-02,13,1.8669410270082503
2024-10-02,14,1.865952318866009
2024-10-03,10,1.7683376779936917
2024-10-03,11,1.7685153478440272
2024-10-03,12,1.7684157605431086
2024-10-03,13,1.7680389362278173
2024-10-03,14,1.7673848637956198
2024-10-04,10,1.4384678244373856
2024-10-04,11,1.438202811866288
2024-10-04,12,1.437725143964546
2024-10-04,13,1.4370353732477115
2024-10-04,14,1.4361340235026148
2024-10-05,10,1.5259326899398278
2024-10-05,11,1.5259382190393012
2024-10-05,12,1.525718696322759
2024-10-05,13,1.525273995143203
2024-10-05,14,1.5246039294709408
2024-10-06,10,1.5396130376463413
2024-10-06,11,1.5396842651273903
2024-10-06,12,1.539533102028693
2024-10-06,13,1.53915888761198
2024-10-06,14,1.5385609014438186
2024-10-07,10,1.8149814022708968
2024-10-07,11,1.814777465403177
2024-10-07,12,1.814285721661533
2024-10-07,13,1.8135062078977886
2024-10-07,14,1.8124389346663612
2024-10-08,10,1.3525214420329545
2024-10-08,11,1.3526313953455096
2024-10-08,12,1.352557147395566
2024-10-08,13,1.3522991050152124
